año,trimestre,provincia,accesos_telefonía_fija_(total),accesos_telefonía_fija_(hogares),accesos_telefonía_fija_(comercial),accesos_telefonía_fija_(gobierno),accesos_telefonía_fija_(otros)
2022,1,Tierra del Fuego,17966,16050,1561,67,288
2022,1,Tucumán,184951,165226,16074,686,2965
2021,4,Buenos Aires,3313370,3012453,234051,14886,51980
2021,4,Capital Federal,1439097,1308400,101656,6465,22576
2021,4,Catamarca,29635,26944,2093,133,465
2021,4,Chaco,90829,82580,6416,408,1425
2021,4,Chubut,68209,62015,4818,306,1070
2021,4,Córdoba,583715,530703,41233,2622,9157
2021,4,Corrientes,97971,89073,6921,440,1537
2021,4,Entre Ríos,207536,188688,14660,932,3256
2021,4,Formosa,36411,33104,2572,164,571
2021,4,Jujuy,44258,40239,3126,199,694
2021,4,La Pampa,71751,65235,5068,322,1126
2021,4,La Rioja,26765,24334,1891,120,420
2021,4,Mendoza,204522,185947,14447,919,3209
2021,4,Misiones,98622,89666,6966,443,1547
2021,4,Neuquén,72616,66022,5129,326,1139
2021,4,Río Negro,86287,78450,6095,388,1354
2021,4,Salta,120291,109367,8497,540,1887
2021,4,San Juan,66631,60580,4707,299,1045
2021,4,San Luis,33020,30022,2332,148,518
2021,4,Santa Cruz,27740,25220,1960,125,435
2021,4,Santa Fe,655796,596238,46324,2946,10288
2021,4,Santiago del Estero,66649,60596,4708,299,1046
2021,4,Tierra del Fuego,18937,17217,1338,85,297
2021,4,Tucumán,165702,150653,11705,744,2600
2021,3,Buenos Aires,3164518,2852029,242423,15465,54601
2021,3,Capital Federal,1367485,1232448,104759,6683,23595
2021,3,Catamarca,24683,22245,1891,121,426
2021,3,Chaco,73770,66485,5651,361,1273
2021,3,Chubut,73086,65869,5599,357,1261
2021,3,Córdoba,484017,436222,37079,2365,8351
2021,3,Corrientes,78053,70346,5979,381,1347
2021,3,Entre Ríos,164023,147826,12565,802,2830
2021,3,Formosa,30471,27462,2334,149,526
2021,3,Jujuy,35160,31688,2693,172,607
2021,3,La Pampa,71728,64644,5495,351,1238
2021,3,La Rioja,21614,19479,1656,106,373
2021,3,Mendoza,196028,176671,15017,958,3382
2021,3,Misiones,78868,71080,6042,385,1361
2021,3,Neuquén,74203,66876,5684,363,1280
2021,3,Río Negro,83724,75456,6414,409,1445
2021,3,Salta,93818,84554,7187,458,1619
2021,3,San Juan,74837,67447,5733,366,1291
2021,3,San Luis,34431,31031,2638,168,594
2021,3,Santa Cruz,26961,24299,2065,132,465
2021,3,Santa Fe,539814,486509,41353,2638,9314
2021,3,Santiago del Estero,57376,51711,4395,280,990
2021,3,Tierra del Fuego,21573,19443,1653,105,372
2021,3,Tucumán,133062,119923,10193,650,2296
2021,2,Buenos Aires,3313370,3012453,234051,14886,51980
2021,2,Capital Federal,1439097,1308400,101656,6465,22576
2021,2,Catamarca,29635,26944,2093,133,465
2021,2,Chaco,90829,82580,6416,408,1425
2021,2,Chubut,68209,62015,4818,306,1070
2021,2,Córdoba,583715,530703,41233,2622,9157
