año,trimestre,provincia,accesos_telefonía_fija_por_cada_100_hab,accesos_telefonía_fija_por_cada_100_hogares
2018,3,Tierra del Fuego,20,67
2018,3,Tucumán,12,52
2018,4,Buenos Aires,26,80
2018,4,Capital Federal,57,136
2018,4,Catamarca,9,35
2018,4,Chaco,8,30
2018,4,Chubut,19,63
2018,4,Córdoba,18,59
2018,4,Corrientes,8,33
2018,4,Entre Ríos,15,50
2018,4,Formosa,6,25
2018,4,Jujuy,6,27
2018,4,La Pampa,21,65
2018,4,La Rioja,8,33
2018,4,Mendoza,18,66
2018,4,Misiones,8,30
2018,4,Neuquén,16,56
2018,4,Río Negro,19,62
2018,4,Salta,9,37
2018,4,San Juan,15,58
2018,4,San Luis,10,36
2018,4,Santa Cruz,12,42
2018,4,Santa Fe,19,63
2018,4,Santiago del Estero,7,31
2018,4,Tierra del Fuego,20,67
2018,4,Tucumán,12,51
2019,1,Buenos Aires,20,62
2019,1,Capital Federal,52,124
2019,1,Catamarca,8,34
2019,1,Chaco,7,29
2019,1,Chubut,14,47
2019,1,Córdoba,17,57
2019,1,Corrientes,8,32
2019,1,Entre Ríos,14,49
2019,1,Formosa,6,24
2019,1,Jujuy,6,26
2019,1,La Pampa,18,56
2019,1,La Rioja,8,31
2019,1,Mendoza,12,43
2019,1,Misiones,8,30
2019,1,Neuquén,12,42
2019,1,Río Negro,13,44
2019,1,Salta,8,36
2019,1,San Juan,11,43
2019,1,San Luis,8,29
2019,1,Santa Cruz,9,32
2019,1,Santa Fe,19,62
2019,1,Santiago del Estero,7,30
2019,1,Tierra del Fuego,15,50
2019,1,Tucumán,12,50
2019,2,Buenos Aires,16,49
2019,2,Capital Federal,37,89
2019,2,Catamarca,8,33
2019,2,Chaco,7,28
2019,2,Chubut,14,46
2019,2,Córdoba,17,56
2019,2,Corrientes,8,31
2019,2,Entre Ríos,14,48
2019,2,Formosa,6,24
2019,2,Jujuy,6,26
2019,2,La Pampa,18,55
2019,2,La Rioja,8,30
2019,2,Mendoza,11,42
2019,2,Misiones,7,29
2019,2,Neuquén,12,41
2019,2,Río Negro,13,42
2019,2,Salta,8,35
2019,2,San Juan,10,42
2019,2,San Luis,6,23
2019,2,Santa Cruz,9,31
2019,2,Santa Fe,19,60
2019,2,Santiago del Estero,7,29
2019,2,Tierra del Fuego,14,48
2019,2,Tucumán,12,48
2019,3,Buenos Aires,19,59
2019,3,Capital Federal,48,117
2019,3,Catamarca,7,31
2019,3,Chaco,7,27
2019,3,Chubut,13,44
2019,3,Córdoba,16,53
2019,3,Corrientes,8,31
2019,3,Entre Ríos,14,47
2019,3,Formosa,5,23
2019,3,Jujuy,6,25
2019,3,La Pampa,17,54
2019,3,La Rioja,7,28
2019,3,Mendoza,11,40
2019,3,Misiones,7,28
2019,3,Neuquén,12,41
2019,3,Río Negro,12,41
