año,trimestre,provincia,accesos_tv_por_suscripción_(vrf)
2019,4,Santa Fe,658150
2019,4,Santiago Del Estero,89885
2019,4,Tierra Del Fuego,41577
2019,4,Tucumán,113416
2019,3,Buenos Aires,2737691
2019,3,Capital Federal,862488
2019,3,Catamarca,40830
2019,3,Chaco,111542
2019,3,Chubut,70308
2019,3,Córdoba,1104134
2019,3,Corrientes,109035
2019,3,Entre Ríos,216331
2019,3,Formosa,59066
2019,3,Jujuy,91428
2019,3,La Pampa,82596
2019,3,La Rioja,20088
2019,3,Mendoza,103899
2019,3,Misiones,143508
2019,3,Neuquén,77398
2019,3,Río Negro,111471
2019,3,Salta,188437
2019,3,San Juan,30778
2019,3,San Luis,49555
2019,3,Santa Cruz,48075
2019,3,Santa Fe,655582
2019,3,Santiago Del Estero,89673
2019,3,Tierra Del Fuego,42866
2019,3,Tucumán,109911
2019,2,Buenos Aires,2687146
2019,2,Capital Federal,810521
2019,2,Catamarca,33085
2019,2,Chaco,108529
2019,2,Chubut,87680
2019,2,Córdoba,1063751
2019,2,Corrientes,108390
2019,2,Entre Ríos,211624
2019,2,Formosa,61107
2019,2,Jujuy,88550
2019,2,La Pampa,83122
2019,2,La Rioja,25887
2019,2,Mendoza,139687
2019,2,Misiones,141493
2019,2,Neuquén,79179
2019,2,Río Negro,108723
2019,2,Salta,185491
2019,2,San Juan,43355
2019,2,San Luis,53561
2019,2,Santa Cruz,52539
2019,2,Santa Fe,603033
2019,2,Santiago Del Estero,108956
2019,2,Tierra Del Fuego,45811
2019,2,Tucumán,117489
2019,1,Buenos Aires,2687325
2019,1,Capital Federal,789185
2019,1,Catamarca,33116
2019,1,Chaco,107090
2019,1,Chubut,90677
2019,1,Córdoba,1057252
2019,1,Corrientes,101354
2019,1,Entre Ríos,210247
2019,1,Formosa,56736
2019,1,Jujuy,87894
2019,1,La Pampa,81351
2019,1,La Rioja,25931
2019,1,Mendoza,140501
2019,1,Misiones,137541
2019,1,Neuquén,80031
2019,1,Río Negro,90118
2019,1,Salta,174728
2019,1,San Juan,44083
2019,1,San Luis,53561
2019,1,Santa Cruz,56833
2019,1,Santa Fe,599988
2019,1,Santiago Del Estero,109220
2019,1,Tierra Del Fuego,45852
2019,1,Tucumán,118638
2018,4,Buenos Aires,2670842
2018,4,Capital Federal,750996
2018,4,Catamarca,33545
2018,4,Chaco,99927
2018,4,Chubut,90602
2018,4,Córdoba,1056763
2018,4,Corrientes,102243
2018,4,Entre Ríos,208263
2018,4,Formosa,58868
2018,4,Jujuy,98704
2018,4,La Pampa,81403
2018,4,La Rioja,24839
2018,4,Mendoza,117382
2018,4,Misiones,137821
2018,4,Neuquén,80025
2018,4,Río Negro,91252
2018,4,Salta,176841
2018,4,San Juan,43605
2018,4,San Luis,55183
2018,4,Santa Cruz,56941
2018,4,Santa Fe,599124
2018,4,Santiago Del Estero,105239
2018,4,Tierra Del Fuego,46184
2018,4,Tucumán,125380
2018,3,Buenos Aires,2698193
2018,3,Capital Federal,755552
2018,3,Catamarca,83185
2018,3,Chaco,99165
2018,3,Chubut,89855
2018,3,Córdoba,1077148
2018,3,Corrientes,101211
2018,3,Entre Ríos,206993
2018,3,Formosa,59888
2018,3,Jujuy,91767
2018,3,La Pampa,83258
2018,3,La Rioja,24018
2018,3,Mendoza,117513
2018,3,Misiones,135350
2018,3,Neuquén,80391
2018,3,Río Negro,95213
2018,3,Salta,176000
2018,3,San Juan,45075
2018,3,San Luis,55302
2018,3,Santa Cruz,56779
2018,3,Santa Fe,630700
2018,3,Santiago Del Estero,108875
2018,3,Tierra Del Fuego,46296
2018,3,Tucumán,125823
2018,2,Buenos Aires,2662857
2018,2,Capital Federal,742742
2018,2,Catamarca,78493
2018,2,Chaco,108493
2018,2,Chubut,74729
2018,2,Córdoba,1114481
2018,2,Corrientes,100369
2018,2,Entre Ríos,211237
2018,2,Formosa,52060
2018,2,Jujuy,89913
2018,2,La Pampa,82552
2018,2,La Rioja,22865
2018,2,Mendoza,89146
2018,2,Misiones,134960
2018,2,Neuquén,78776
2018,2,Río Negro,87667
2018,2,Salta,169029
2018,2,San Juan,47920
2018,2,San Luis,57243
2018,2,Santa Cruz,53338
2018,2,Santa Fe,615398
2018,2,Santiago Del Estero,96384
2018,2,Tierra Del Fuego,41093
2018,2,Tucumán,119017
2018,1,Buenos Aires,2654174
2018,1,Capital Federal,741516
