provincia,partido,localidad,población,adsl,cablemódem,dial_up,fibra_óptica,satelital,wireless,telefonía_fija,3g,4g,link,latitud,longitud
BUENOS AIRES,Campana,Alto Los Cardales,1983,--,--,--,SI,--,SI,--,SI,SI,6126010,-34,-58
BUENOS AIRES,Campana,Barrio Los Pioneros,1823,--,--,--,--,--,SI,--,SI,SI,6126020,-34,-58
BUENOS AIRES,Campana,Campana,86860,SI,SI,SI,SI,SI,SI,SI,SI,SI,6126030,-34,-58
BUENOS AIRES,Campana,Chacras del Río Luján,1621,--,--,--,--,--,SI,--,SI,SI,6126035,-34,-58
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),261,--,SI,--,--,--,--,--,SI,SI,6126040,-34,-58
BUENOS AIRES,Cañuelas,Alejandro Petión,2759,SI,SI,SI,--,--,SI,SI,SI,SI,6134010,-34,-58
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,7165,--,--,--,--,--,SI,--,SI,SI,6134030,-34,-58
BUENOS AIRES,Cañuelas,Barrio El Taladro,155,--,--,--,SI,--,--,--,--,--,6134020,-35,-58
BUENOS AIRES,Cañuelas,Cañuelas,29974,SI,SI,SI,SI,SI,SI,SI,SI,SI,6134030,-35,-58
BUENOS AIRES,Patagones,Stroeder,1998,--,--,SI,SI,--,SI,SI,SI,SI,6602060,-40,-62
BUENOS AIRES,Patagones,Villalonga,4517,SI,--,SI,SI,--,SI,SI,SI,SI,6602070,-39,-62
BUENOS AIRES,Pehuajó,Capitán Castro,49,--,--,--,--,--,SI,--,--,--,6609010,-35,-62
BUENOS AIRES,Pehuajó,Chiclana,0,--,--,--,--,--,SI,--,SI,--,6609080,-35,-61
BUENOS AIRES,Pehuajó,Francisco Madero,1389,--,--,SI,--,--,SI,SI,SI,SI,6609030,-35,-62
BUENOS AIRES,Pehuajó,Inocencio Sosa,31,--,--,--,--,--,SI,--,--,--,6609035,-35,-62
BUENOS AIRES,Pehuajó,Juan José Paso,2176,--,--,--,SI,--,SI,SI,SI,SI,6609040,-35,-62
BUENOS AIRES,Pehuajó,Magdala,195,--,--,--,--,--,SI,SI,--,--,6609050,-36,-61
BUENOS AIRES,Pehuajó,Mones Cazón,1764,--,--,--,--,--,SI,SI,SI,SI,6609060,-36,-62
BUENOS AIRES,Pehuajó,Nueva Plata,206,--,--,--,--,--,SI,SI,--,--,6609070,-35,-61
BUENOS AIRES,Pehuajó,Pehuajó,31533,SI,SI,SI,SI,--,SI,SI,SI,SI,6609080,-35,-61
BUENOS AIRES,Pehuajó,San Bernardo (Est. Guanaco),282,--,--,--,--,--,SI,SI,--,--,6609090,-35,-61
BUENOS AIRES,Pehuajó,San Esteban,92,--,--,--,--,--,SI,--,--,--,6609020,-35,-61
BUENOS AIRES,Pellegrini,Bocayuva,83,--,--,--,SI,--,--,--,--,--,6616010,-36,-63
BUENOS AIRES,Pellegrini,De Bary,63,--,--,--,--,--,--,--,--,--,6616020,-36,-63
CORDOBA,Pocho,Las Palmas,43,--,--,--,--,--,SI,--,--,--,14077020,-31,-65
CABA,COMUNA 04,NUEVA POMPEYA,42695,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34,-58
CORDOBA,General San Martín,Arroyo Cabral,2654,SI,SI,--,SI,SI,SI,SI,SI,SI,14042020,-32,-63
CORDOBA,General San Martín,Ausonia,1046,--,--,--,SI,--,SI,SI,SI,SI,14042030,-32,-63
CORDOBA,General San Martín,Chazón,1061,--,SI,--,--,--,--,SI,SI,SI,14042040,-33,-63
CORDOBA,General San Martín,Etruria,4070,SI,SI,--,--,SI,--,SI,SI,SI,14042050,-32,-63
CORDOBA,General San Martín,La Laguna,1482,SI,--,--,--,--,--,SI,SI,SI,14042060,-32,-63
CORDOBA,General San Martín,La Palestina,502,--,--,--,--,--,SI,SI,--,SI,14042070,-32,-63
CORDOBA,General San Martín,La Playosa,2672,SI,--,--,--,SI,SI,--,SI,SI,14042080,-32,-63
CORDOBA,General San Martín,Las Mojarras,60,--,--,--,--,--,--,--,SI,SI,14042090,-32,-63
CORDOBA,General San Martín,Luca,563,--,--,--,--,--,--,SI,--,SI,14042100,-32,-63
CORDOBA,General San Martín,Pasco,1178,--,--,--,SI,--,--,SI,--,SI,14042110,-32,-63
CORDOBA,General San Martín,Sanabria,77,--,--,--,--,--,--,SI,--,--,14042120,-32,-63
CORDOBA,General San Martín,Silvio Pellico,386,--,--,--,SI,--,SI,SI,--,--,14042130,-32,-62
CORDOBA,General San Martín,Ticino,2188,--,SI,--,SI,SI,--,SI,SI,SI,14042140,-32,-63
CORDOBA,General San Martín,Tío Pujio,2655,SI,--,--,SI,--,SI,SI,SI,SI,14042150,-32,-63
CORDOBA,General San Martín,Villa Albertina,130,--,--,--,--,--,--,--,SI,SI,14042160,-32,-63
CORDOBA,General San Martín,Villa María,79351,SI,SI,--,SI,SI,SI,SI,SI,SI,14042170,-32,-63
CORDOBA,General San Martín,Villa Nueva,18818,SI,SI,--,SI,SI,SI,SI,SI,SI,14042180,-32,-63
CORDOBA,General San Martín,Villa Oeste,55,--,--,--,--,--,--,--,SI,SI,14042190,-32,-63
CORDOBA,Ischilín,Avellaneda,282,--,--,--,--,--,--,--,--,--,14049010,-30,-64
FORMOSA,Pilagás,Tres Lagunas,1598,SI,--,--,--,SI,SI,SI,--,--,34042060,-25,-58
FORMOSA,Pilcomayo,Clorinda,52837,SI,SI,--,SI,SI,SI,SI,SI,SI,34049010,-25,-57
FORMOSA,Pilcomayo,Laguna Blanca,7411,SI,--,--,--,--,SI,SI,SI,SI,34049020,-25,-58
