año,trimestre,provincia,otros,"0,256_mbps","0,5_mbps","0,512_mbps","0,75_mbps",1_mbps,2_mbps,3_mbps,"3,5_mbps",4_mbps,5_mbps,6_mbps,7_mbps,8_mbps,9_mbps,10_mbps,11_mbps,12_mbps,15_mbps,16_mbps,18_mbps,20_mbps,24_mbps,25_mbps,30_mbps,35_mbps,40_mbps,50_mbps,60_mbps,100_mbps,120_mbps,150_mbps,200_mbps,300_mbps,500_mbps,1000_mbps
2023,3,Córdoba,16934,2,87,10,83,8608,7892,29988,4897,11680,8569,63208,2654,14055,2317,77224,87,9104,21486,134,58,21449,2,20476,5562,8,212,222264,4951,290685,75,16,460,196048,22676,1942
2023,3,Corrientes,7976,0,10,57,118,2867,2959,5843,480,1741,2751,7036,0,5016,0,15890,0,2,1309,1108,0,3075,0,1277,3314,0,0,30280,0,35317,1060,0,2097,25539,2172,182
2023,3,Entre Ríos,0,1,20,86,113,4397,4822,7970,390,2529,6595,16656,1138,2420,0,46421,0,1639,5493,1,1,13178,1,762,22196,0,0,36807,51,60217,816,1,1755,51995,4262,413
2023,3,Formosa,359,1,49,35,0,208,1500,10152,0,3297,1587,5383,108,137,0,11452,0,40,1356,0,0,3649,0,8,270,2,21,766,0,9576,0,0,0,10587,711,60
2023,3,Jujuy,2028,0,26,32,0,1436,1640,3186,0,2890,5124,2845,10,946,0,11027,0,23494,410,0,4,5048,0,8,279,0,0,44326,0,7991,0,0,1,3954,341,8
2023,3,La Pampa,1613,3,6,62,143,1215,3006,6706,2327,2460,2198,31032,516,1562,0,16160,73,1,5817,0,0,8785,0,64,4020,1,2119,21829,1690,4772,1037,0,1,407,108,2
2023,3,La Rioja,0,0,9,9,0,459,8,480,0,2,173,954,0,85,0,1904,22,15552,352,0,0,8921,297,0,4503,0,0,36211,0,10909,0,0,137,6123,585,6
2023,3,Mendoza,5524,2,86,16,737,2211,3339,4182,10699,1659,1093,13916,15,10780,1279,8868,0,4670,19102,0,0,6864,695,156,53351,0,3,111582,1,26781,0,0,119,7701,467,11
2023,3,Misiones,8892,0,47,4,0,3302,11038,4307,4,1742,5157,10705,2603,45,4,19663,4,120,2435,1,1,9337,0,8,3873,0,71,33775,19,45096,494,0,4079,25364,1718,178
2023,3,Neuquén,13259,1,62,107,458,523,1677,6552,10737,1423,8320,9049,246,6160,0,7531,0,2635,4788,0,0,4158,0,59,13970,0,65,10752,8,31212,0,4,0,26904,3308,298
2023,3,Río Negro,14957,1,36,75,501,560,2454,6028,7796,1303,3058,8562,0,10908,1,4105,18,3315,9779,0,3,8067,0,11819,16162,0,102,5897,184,19396,103,1,9,16736,1206,131
2023,3,Salta,6799,0,41,74,1,1189,1539,6267,8,8365,4939,8187,330,6870,0,59860,0,88,1687,0,4,2279,11,2,80,0,74,28966,0,37144,357,0,1,28138,2001,199
2023,3,San Juan,22628,0,21,3,723,1298,606,4403,11509,1048,242,3282,86,9292,9,3495,0,935,10727,0,0,902,724,339,10448,0,0,19331,1,1142,0,0,0,467,3,0
2023,3,San Luis,8484,0,59,1,163,465,491,2773,1418,1,343,6372,4,2622,112,21080,0,7604,1836,0,0,1486,0,74779,137,0,35,4892,0,1244,0,0,0,469,25,11743
2023,3,Santa Cruz,0,4,26,20,218,6504,1795,2534,2001,479,1839,1964,1,2324,6,8522,0,1494,4271,0,725,3075,39,1454,2157,516,12,5419,0,422,0,0,0,0,0,0
2023,3,Santa Fe,17806,32,335,101,5,7169,6232,25331,172,5288,20053,28300,5844,11566,1440,149861,0,1123,22896,33,8,41354,39,7925,12512,58,2015,157880,303,198040,852,1499,9810,143541,10896,777
2023,3,Santiago Del Estero,950,2,39,139,908,291,381,5459,0,1220,410,7323,352,87,0,54064,0,21206,367,0,0,6883,0,17,789,0,41,2961,1,8350,0,0,0,8531,793,16
2023,3,Tierra Del Fuego,5020,0,11,11,318,516,2,3,3740,1872,420,4513,0,8305,4,4422,0,11215,8738,0,228,203,998,3915,272,254,114,2682,60,294,0,28,1,570,0,0
2023,3,Tucumán,671,0,19,20,0,1236,118,5861,2271,448,1013,10667,146,146,2,24732,0,13218,2439,0,0,9865,537,84,1011,12,2,76119,1,70315,0,0,3,41218,3460,28
2023,2,Buenos Aires,125147,18,25815,169,4611,17899,19520,43554,41735,13365,27327,75439,11286,63826,688,157372,10,21114,94414,231,1080,124540,106,42701,782651,1373,5574,504344,75495,865122,496,484778,7739,1060257,149680,156691
2023,2,Capital Federal,0,31,451,34,1307,4111,249,3971,11975,994,3547,9017,7,16864,3,34541,5,92,29730,5,0,7537,0,433,58579,24,238,66357,17314,375600,30,147085,3301,553467,86440,68405
2023,2,Catamarca,70,0,34,37,0,176,115,1644,0,1,332,780,0,0,0,3424,0,31,1901,0,0,2272,914,47,861,0,0,35211,0,17716,0,0,42,8099,372,20
2023,2,Chaco,3816,0,234,2,0,416,780,2925,167,385,5115,4784,106,700,1,8237,0,137,3421,0,0,1975,0,3435,2294,19,0,33117,0,55941,650,0,1053,23172,1610,150
2023,2,Chubut,16640,8,69,34,836,247,1870,5642,11441,6185,4369,14321,76,13374,21,18414,1,5603,13739,141,0,3484,8047,5560,7643,0,29,31184,2,1255,0,0,1,158,3,0
2023,2,Córdoba,14710,2,87,10,83,7973,7589,25408,4897,10133,8411,53772,1818,10313,714,74948,88,7337,19975,134,58,19378,2,23046,6694,8,1368,242593,5952,295368,891,27,11502,198178,18929,3190
2023,2,Corrientes,6242,0,10,57,118,2572,1721,5092,480,1718,2751,6875,0,4890,0,11640,0,8,1673,3548,0,2451,0,1421,589,0,2834,31709,0,37081,1705,0,2442,25789,1851,266
2023,2,Entre Ríos,13975,1,20,86,113,4177,4821,6815,390,2334,5417,14797,358,2399,0,48690,0,1486,5069,1,0,9566,0,863,6383,0,0,40205,0,69813,780,1,2043,51544,3543,708
2023,2,Formosa,302,1,49,35,0,158,1447,10284,0,3296,2059,5047,108,162,0,10654,0,40,1172,0,0,2964,0,9,268,3,13,1361,0,11492,0,0,0,11104,581,109
2023,2,Jujuy,1970,0,26,32,0,1268,1637,2959,0,2889,5128,2351,10,946,0,10327,0,23495,362,0,4,4687,0,8,268,0,0,45106,0,9395,0,0,1,4381,281,19
2023,2,La Pampa,1599,3,6,62,143,1276,2312,6114,2327,2454,2198,29499,516,1562,0,15195,0,1,5102,0,0,10118,0,1543,3792,1,2900,23478,1939,5863,1290,0,8,474,129,8
2023,2,La Rioja,0,0,9,9,0,407,8,404,0,2,180,742,0,85,0,1481,22,15442,287,0,0,9019,209,0,4503,0,0,36934,0,11474,0,0,137,5936,469,23
2023,2,Mendoza,5566,2,86,16,737,2208,3081,4179,10699,1584,1108,13894,13,10780,1251,8856,0,4467,19102,0,0,6480,626,155,53012,0,4,111499,1,28343,1,0,447,10984,642,33
2023,2,Misiones,8526,0,47,4,0,3173,11019,3874,4,1705,3170,7110,7855,29,0,18485,1,116,1227,0,0,8468,0,8,3649,0,71,37533,19,51195,502,1027,5008,25109,1418,229
2023,2,Neuquén,20168,1,62,73,458,539,1626,5303,10737,1438,7821,8457,246,6119,0,7117,0,3775,5148,0,0,1567,0,259,14327,0,66,8573,7,30680,0,4,0,26468,2734,469
2023,2,Río Negro,15576,1,36,75,501,534,677,5428,7796,727,2135,8737,0,11085,1,6555,18,1640,9894,0,3,5636,0,7618,16244,2,33,16821,259,22385,233,33,26,17629,971,228
2023,2,Salta,6646,0,41,73,1,925,1538,5731,8,8365,4873,6837,330,6869,0,57331,0,88,1392,0,4,1707,0,2,75,0,0,29271,0,38867,35,0,1,28286,1664,355
2023,2,San Juan,22755,0,21,3,723,1298,606,4403,11509,251,309,4967,86,9157,9,3778,0,799,9836,0,0,962,627,339,10448,0,0,18638,1,3254,0,0,0,1790,6,0
2023,2,San Luis,5968,0,59,1,163,465,491,2772,1418,2,347,6288,3,2622,49,21080,0,5632,1836,0,0,1485,0,70721,136,0,35,7623,0,1983,0,0,0,740,29,23645
2023,2,Santa Cruz,33803,4,26,20,218,209,724,1259,2001,504,1272,2004,1,2360,4,7212,0,251,6224,0,1,706,31,1454,5592,1139,3,7710,0,1386,0,587,102,0,142,0
2023,2,Santa Fe,16168,32,335,101,5,6412,6337,22748,164,5400,17998,23175,4114,10561,1464,136891,0,1200,25445,31,8,31836,39,12483,16119,41,5817,179739,1892,210827,1219,1621,10211,146478,9107,1317
2023,2,Santiago Del Estero,917,2,39,139,908,226,381,5230,0,1220,409,4881,352,114,0,52745,0,14787,241,0,0,9253,0,18,5778,0,41,6701,1,10229,0,0,0,8542,664,54
2023,2,Tierra Del Fuego,7121,0,11,11,318,516,2,3,3740,1873,430,4121,0,8034,4,1636,0,3518,8105,0,200,216,1280,14491,196,486,7,4035,81,415,0,30,3,670,0,0
2023,2,Tucumán,488,0,19,20,0,927,116,4696,2271,44,1025,8075,146,145,1,19626,0,12926,2031,0,0,8306,514,84,983,12,2,80426,1,75387,0,0,3,41670,2841,148
2023,1,Buenos Aires,95566,18,28411,186,4611,20526,20939,51141,41735,13694,27884,94224,9522,64791,709,188380,10,23952,88111,258,1021,128313,110,45486,777940,1365,3706,465649,443376,950919,455,263702,7763,678615,104112,64364
2023,1,Capital Federal,106867,31,451,34,1307,3193,281,2897,11975,992,3497,9026,7,16651,3,43400,5,11,29425,5,0,5528,0,2202,58712,9,122,76368,108361,399697,14,73852,2727,447883,89932,25315
2023,1,Catamarca,2311,0,34,37,0,221,115,796,0,0,86,1195,1,0,0,4351,0,193,675,0,0,2926,1731,0,876,0,0,31984,0,15287,0,0,42,8051,457,1
2023,1,Chaco,3947,0,234,2,0,544,780,3613,167,385,3636,6532,442,702,1,14045,0,137,4008,0,0,3584,0,768,2263,19,18,29316,0,39776,608,0,1137,23032,2410,49
2023,1,Chubut,20574,8,69,32,836,762,4705,5939,11441,5643,2408,15658,135,12961,59,17792,1,9492,13655,0,0,1892,7210,3901,7578,0,18,26340,0,736,0,0,1,34,1,0
2023,1,Córdoba,33490,2,87,10,83,8761,7636,30638,4897,12479,7135,68803,3808,13608,1905,83735,87,8732,22186,134,58,25853,2,19341,5599,8,220,201550,4937,262974,75,16,18,195440,23661,639
2023,1,Corrientes,8984,0,10,57,118,2956,2959,6355,480,1738,2553,8432,0,5016,0,18404,0,2,1601,1108,0,3638,0,1277,3338,0,0,27046,0,32110,1038,0,1226,23578,2616,72
2023,1,Entre Ríos,0,1,20,86,113,4412,4832,8333,390,2527,6556,18577,1138,2424,0,48102,0,1639,5742,1,1,13284,1,760,21937,0,0,37273,51,47476,832,1,620,43515,3951,138
2023,1,Formosa,702,0,49,35,0,192,1558,10141,0,3296,1686,5335,108,137,0,11677,0,40,1219,0,0,4970,0,8,269,2,17,954,0,8405,0,0,0,9333,829,23
2023,1,Jujuy,2076,0,26,32,0,1598,1639,3698,0,2889,5125,3491,10,946,0,11900,0,23494,539,0,4,5349,0,8,297,0,0,42883,0,7599,0,0,1,3767,367,8
2023,1,La Pampa,16958,1,6,61,143,1256,3087,7755,2327,2460,2198,32301,516,1562,0,9432,73,1,5882,0,0,4569,0,41,4385,1,7,17916,0,3000,0,0,1,312,64,0
2023,1,La Rioja,0,0,9,9,0,502,8,542,0,2,183,1157,0,85,0,2385,22,15644,406,0,0,8479,439,2,4510,0,0,35606,0,9429,0,0,137,6298,549,2
2023,1,Mendoza,21186,1,86,16,737,2208,3215,2956,10699,1659,1474,11416,138,10780,217,9678,0,5357,17418,0,0,7882,7344,158,53714,0,20,95941,1,22212,0,0,20,4679,288,6
2023,1,Misiones,8244,0,47,4,0,3448,11038,4677,4,1742,5158,12143,2603,45,4,19165,4,120,2693,1,1,9060,0,3,3897,0,71,29984,19,42122,452,0,4047,25420,2179,61
2023,1,Neuquén,2267,0,62,106,458,528,1677,6598,10737,1423,8870,9109,246,6280,0,7407,0,2392,4788,0,0,6011,0,59,17788,0,65,11556,8,29926,0,244,48,26571,3895,86
2023,1,Río Negro,29772,0,36,75,501,575,2452,5810,7796,1302,3056,9099,0,10908,1,4262,18,3671,9779,0,3,5226,0,11819,5489,0,104,5450,184,18604,103,1,10,16637,1333,43
2023,1,Salta,6778,0,41,73,1,1095,1537,6461,8,8364,4939,9255,330,6870,0,62236,0,88,2149,0,4,2580,11,1,107,0,74,28737,0,33401,357,0,1,27227,2309,40
2023,1,San Juan,11840,0,21,3,723,1297,1398,11482,11509,860,2108,2694,1122,9391,17,691,0,3222,10662,0,0,915,9283,339,10717,0,3,10312,1,782,0,0,0,355,1,0
2023,1,San Luis,3353,0,59,1,163,461,491,2779,1418,0,345,6647,75,2622,356,21080,0,10283,1836,0,0,1540,0,75773,133,0,35,832,0,216,0,0,0,10,21,4925
