año,trimestre,provincia,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares
2020,4,Santa Cruz,12,40
2020,4,Santa Fe,19,61
2020,4,Santiago Del Estero,9,37
2020,4,Tierra Del Fuego,24,81
2020,4,Tucumán,6,26
2020,3,Buenos Aires,16,50
2020,3,Capital Federal,24,58
2020,3,Catamarca,9,38
2020,3,Chaco,9,37
2020,3,Chubut,10,34
2020,3,Córdoba,29,94
2020,3,Corrientes,10,38
2020,3,Entre Ríos,16,56
2020,3,Formosa,9,39
2020,3,Jujuy,14,55
2020,3,La Pampa,22,67
2020,3,La Rioja,4,18
2020,3,Mendoza,5,18
2020,3,Misiones,10,40
2020,3,Neuquén,12,40
2020,3,Río Negro,15,48
2020,3,Salta,14,58
2020,3,San Juan,4,16
2020,3,San Luis,8,31
2020,3,Santa Cruz,12,40
2020,3,Santa Fe,19,61
2020,3,Santiago Del Estero,9,37
2020,3,Tierra Del Fuego,24,82
2020,3,Tucumán,6,26
2020,2,Buenos Aires,16,50
2020,2,Capital Federal,24,57
2020,2,Catamarca,9,38
2020,2,Chaco,9,36
2020,2,Chubut,10,33
2020,2,Córdoba,29,95
2020,2,Corrientes,9,37
2020,2,Entre Ríos,15,52
2020,2,Formosa,9,38
2020,2,Jujuy,12,49
2020,2,La Pampa,22,68
2020,2,La Rioja,4,18
2020,2,Mendoza,5,18
2020,2,Misiones,11,41
2020,2,Neuquén,11,40
2020,2,Río Negro,14,48
2020,2,Salta,14,58
2020,2,San Juan,4,16
2020,2,San Luis,9,31
2020,2,Santa Cruz,11,40
2020,2,Santa Fe,19,60
2020,2,Santiago Del Estero,9,37
2020,2,Tierra Del Fuego,24,81
2020,2,Tucumán,5,23
2020,1,Buenos Aires,16,51
2020,1,Capital Federal,24,58
2020,1,Catamarca,9,37
2020,1,Chaco,9,35
2020,1,Chubut,10,35
2020,1,Córdoba,28,92
2020,1,Corrientes,9,37
2020,1,Entre Ríos,15,53
2020,1,Formosa,9,38
2020,1,Jujuy,12,49
2020,1,La Pampa,22,67
2020,1,La Rioja,4,18
2020,1,Mendoza,5,18
2020,1,Misiones,11,41
2020,1,Neuquén,11,39
2020,1,Río Negro,14,47
2020,1,Salta,13,54
2020,1,San Juan,3,15
2020,1,San Luis,9,32
2020,1,Santa Cruz,11,40
2020,1,Santa Fe,19,60
2020,1,Santiago Del Estero,9,36
2020,1,Tierra Del Fuego,24,81
2020,1,Tucumán,6,26
2019,4,Buenos Aires,16,49
2019,4,Capital Federal,29,70
2019,4,Catamarca,9,39
2019,4,Chaco,9,35
2019,4,Chubut,11,37
2019,4,Córdoba,29,97
2019,4,Corrientes,9,37
2019,4,Entre Ríos,15,53
2019,4,Formosa,9,38
2019,4,Jujuy,12,48
2019,4,La Pampa,22,68
2019,4,La Rioja,4,18
2019,4,Mendoza,5,18
2019,4,Misiones,11,42
2019,4,Neuquén,11,39
2019,4,Río Negro,14,48
2019,4,Salta,13,55
2019,4,San Juan,3,14
2019,4,San Luis,9,33
2019,4,Santa Cruz,13,44
2019,4,Santa Fe,18,59
2019,4,Santiago Del Estero,9,37
2019,4,Tierra Del Fuego,24,82
2019,4,Tucumán,6,27
2019,3,Buenos Aires,15,47
2019,3,Capital Federal,28,67
2019,3,Catamarca,9,38
2019,3,Chaco,9,34
2019,3,Chubut,11,37
2019,3,Córdoba,29,96
2019,3,Corrientes,9,37
2019,3,Entre Ríos,15,52
2019,3,Formosa,9,38
2019,3,Jujuy,11,46
2019,3,La Pampa,23,70
2019,3,La Rioja,5,19
2019,3,Mendoza,5,18
2019,3,Misiones,11,42
2019,3,Neuquén,11,39
2019,3,Río Negro,15,48
2019,3,Salta,13,55
2019,3,San Juan,3,15
2019,3,San Luis,9,34
2019,3,Santa Cruz,13,45
2019,3,Santa Fe,18,59
2019,3,Santiago Del Estero,9,37
2019,3,Tierra Del Fuego,25,85
2019,3,Tucumán,6,26
2019,2,Buenos Aires,15,47
2019,2,Capital Federal,26,63
2019,2,Catamarca,8,31
2019,2,Chaco,9,34
2019,2,Chubut,14,47
2019,2,Córdoba,28,93
2019,2,Corrientes,9,37
2019,2,Entre Ríos,15,51
2019,2,Formosa,10,40
2019,2,Jujuy,11,45
2019,2,La Pampa,23,71
2019,2,La Rioja,6,25
2019,2,Mendoza,7,25
2019,2,Misiones,11,41
2019,2,Neuquén,12,40
2019,2,Río Negro,14,47
2019,2,Salta,13,54
2019,2,San Juan,5,22
2019,2,San Luis,10,37
2019,2,Santa Cruz,14,49
2019,2,Santa Fe,17,54
2019,2,Santiago Del Estero,11,45
2019,2,Tierra Del Fuego,27,91
2019,2,Tucumán,7,28
2019,1,Buenos Aires,15,47
2019,1,Capital Federal,25,61
2019,1,Catamarca,8,31
2019,1,Chaco,9,33
2019,1,Chubut,14,48
2019,1,Córdoba,28,93
2019,1,Corrientes,9,34
2019,1,Entre Ríos,15,51
2019,1,Formosa,9,37
2019,1,Jujuy,11,45
2019,1,La Pampa,22,69
2019,1,La Rioja,6,25
2019,1,Mendoza,7,25
2019,1,Misiones,11,40
2019,1,Neuquén,12,41
2019,1,Río Negro,12,39
2019,1,Salta,12,51
2019,1,San Juan,5,22
2019,1,San Luis,10,37
2019,1,Santa Cruz,16,54
2019,1,Santa Fe,17,54
2019,1,Santiago Del Estero,11,45
2019,1,Tierra Del Fuego,27,92
2019,1,Tucumán,7,28
2018,4,Buenos Aires,15,47
2018,4,Capital Federal,24,58
2018,4,Catamarca,8,32
2018,4,Chaco,8,31
2018,4,Chubut,15,49
2018,4,Córdoba,28,93
2018,4,Corrientes,9,35
2018,4,Entre Ríos,15,50
2018,4,Formosa,9,38
2018,4,Jujuy,13,50
2018,4,La Pampa,23,69
2018,4,La Rioja,6,24
2018,4,Mendoza,5,21
2018,4,Misiones,11,40
2018,4,Neuquén,12,41
2018,4,Río Negro,12,40
2018,4,Salta,12,52
