año,trimestre,provincia,accesos_por_cada_100_hogares
2020,1,Mendoza,33
2020,1,Misiones,39
2020,1,Neuquén,61
2020,1,Río Negro,55
2020,1,Salta,49
2020,1,San Juan,32
2020,1,San Luis,76
2020,1,Santa Cruz,35
2020,1,Santa Fe,69
2020,1,Santiago Del Estero,42
2020,1,Tierra Del Fuego,76
2020,1,Tucumán,47
2019,4,Buenos Aires,64
2019,4,Capital Federal,106
2019,4,Catamarca,36
2019,4,Chaco,36
2019,4,Chubut,51
2019,4,Córdoba,70
2019,4,Corrientes,38
2019,4,Entre Ríos,57
2019,4,Formosa,30
2019,4,Jujuy,45
2019,4,La Pampa,76
2019,4,La Rioja,47
2019,4,Mendoza,33
2019,4,Misiones,39
2019,4,Neuquén,59
2019,4,Río Negro,55
2019,4,Salta,50
2019,4,San Juan,32
2019,4,San Luis,74
2019,4,Santa Cruz,36
2019,4,Santa Fe,69
2019,4,Santiago Del Estero,42
2019,4,Tierra Del Fuego,79
2019,4,Tucumán,47
2019,3,Buenos Aires,69
2019,3,Capital Federal,112
2019,3,Catamarca,30
2019,3,Chaco,35
2019,3,Chubut,47
2019,3,Córdoba,68
2019,3,Corrientes,38
2019,3,Entre Ríos,57
2019,3,Formosa,30
2019,3,Jujuy,44
2019,3,La Pampa,77
2019,3,La Rioja,47
2019,3,Mendoza,40
2019,3,Misiones,39
2019,3,Neuquén,64
2019,3,Río Negro,63
2019,3,Salta,44
2019,3,San Juan,37
2019,3,San Luis,85
2019,3,Santa Cruz,35
2019,3,Santa Fe,68
2019,3,Santiago Del Estero,55
2019,3,Tierra Del Fuego,96
2019,3,Tucumán,39
2019,2,Buenos Aires,67
2019,2,Capital Federal,110
2019,2,Catamarca,32
2019,2,Chaco,34
2019,2,Chubut,46
2019,2,Córdoba,68
2019,2,Corrientes,38
2019,2,Entre Ríos,57
2019,2,Formosa,30
2019,2,Jujuy,44
2019,2,La Pampa,77
2019,2,La Rioja,48
2019,2,Mendoza,40
2019,2,Misiones,39
2019,2,Neuquén,63
2019,2,Río Negro,61
2019,2,Salta,41
2019,2,San Juan,35
2019,2,San Luis,81
2019,2,Santa Cruz,28
2019,2,Santa Fe,67
2019,2,Santiago Del Estero,52
2019,2,Tierra Del Fuego,94
2019,2,Tucumán,40
2019,1,Buenos Aires,66
2019,1,Capital Federal,109
2019,1,Catamarca,32
2019,1,Chaco,32
2019,1,Chubut,42
2019,1,Córdoba,65
2019,1,Corrientes,35
2019,1,Entre Ríos,56
2019,1,Formosa,29
2019,1,Jujuy,46
2019,1,La Pampa,76
2019,1,La Rioja,50
2019,1,Mendoza,37
2019,1,Misiones,36
2019,1,Neuquén,58
2019,1,Río Negro,53
2019,1,Salta,40
2019,1,San Juan,31
2019,1,San Luis,67
2019,1,Santa Cruz,23
2019,1,Santa Fe,66
2019,1,Santiago Del Estero,37
2019,1,Tierra Del Fuego,93
2019,1,Tucumán,41
2018,4,Buenos Aires,64
2018,4,Capital Federal,108
2018,4,Catamarca,32
2018,4,Chaco,32
2018,4,Chubut,42
2018,4,Córdoba,65
2018,4,Corrientes,34
2018,4,Entre Ríos,54
2018,4,Formosa,29
2018,4,Jujuy,46
2018,4,La Pampa,73
2018,4,La Rioja,50
2018,4,Mendoza,37
2018,4,Misiones,34
2018,4,Neuquén,59
2018,4,Río Negro,51
2018,4,Salta,39
2018,4,San Juan,31
2018,4,San Luis,67
2018,4,Santa Cruz,23
2018,4,Santa Fe,65
2018,4,Santiago Del Estero,37
2018,4,Tierra Del Fuego,93
2018,4,Tucumán,41
2018,3,Buenos Aires,64
2018,3,Capital Federal,108
2018,3,Catamarca,32
2018,3,Chaco,32
2018,3,Chubut,56
2018,3,Córdoba,64
2018,3,Corrientes,34
2018,3,Entre Ríos,50
2018,3,Formosa,29
2018,3,Jujuy,23
2018,3,La Pampa,71
2018,3,La Rioja,50
2018,3,Mendoza,37
2018,3,Misiones,32
2018,3,Neuquén,60
2018,3,Río Negro,50
2018,3,Salta,39
2018,3,San Juan,33
2018,3,San Luis,52
2018,3,Santa Cruz,32
2018,3,Santa Fe,63
2018,3,Santiago Del Estero,36
2018,3,Tierra Del Fuego,92
2018,3,Tucumán,41
2018,2,Buenos Aires,62
2018,2,Capital Federal,106
2018,2,Catamarca,32
2018,2,Chaco,31
2018,2,Chubut,54
2018,2,Córdoba,63
2018,2,Corrientes,33
2018,2,Entre Ríos,49
2018,2,Formosa,29
2018,2,Jujuy,23
2018,2,La Pampa,71
2018,2,La Rioja,50
2018,2,Mendoza,36
2018,2,Misiones,31
2018,2,Neuquén,60
2018,2,Río Negro,50
2018,2,Salta,39
2018,2,San Juan,32
2018,2,San Luis,15
2018,2,Santa Cruz,33
2018,2,Santa Fe,62
2018,2,Santiago Del Estero,35
2018,2,Tierra Del Fuego,91
2018,2,Tucumán,41
2018,1,Buenos Aires,62
2018,1,Capital Federal,106
2018,1,Catamarca,32
2018,1,Chaco,30
2018,1,Chubut,53
2018,1,Córdoba,63
2018,1,Corrientes,32
2018,1,Entre Ríos,48
2018,1,Formosa,21
2018,1,Jujuy,23
2018,1,La Pampa,71
2018,1,La Rioja,51
2018,1,Mendoza,37
2018,1,Misiones,30
2018,1,Neuquén,61
2018,1,Río Negro,49
2018,1,Salta,39
2018,1,San Juan,32
2018,1,San Luis,15
2018,1,Santa Cruz,33
2018,1,Santa Fe,62
2018,1,Santiago Del Estero,34
2018,1,Tierra Del Fuego,65
2018,1,Tucumán,41
2017,4,Buenos Aires,57
2017,4,Capital Federal,122
2017,4,Catamarca,28
2017,4,Chaco,30
2017,4,Chubut,51
2017,4,Córdoba,63
2017,4,Corrientes,32
2017,4,Entre Ríos,47
2017,4,Formosa,21
2017,4,Jujuy,22
2017,4,La Pampa,71
2017,4,La Rioja,51
2017,4,Mendoza,33
2017,4,Misiones,31
2017,4,Neuquén,61
2017,4,Río Negro,49
2017,4,Salta,39
2017,4,San Juan,30
2017,4,San Luis,10
2017,4,Santa Cruz,28
2017,4,Santa Fe,61
2017,4,Santiago Del Estero,29
2017,4,Tierra Del Fuego,59
2017,4,Tucumán,39
2017,3,Buenos Aires,55
2017,3,Capital Federal,121
2017,3,Catamarca,32
2017,3,Chaco,29
2017,3,Chubut,46
2017,3,Córdoba,62
2017,3,Corrientes,32
2017,3,Entre Ríos,45
2017,3,Formosa,21
2017,3,Jujuy,22
2017,3,La Pampa,69
2017,3,La Rioja,51
2017,3,Mendoza,35
2017,3,Misiones,30
2017,3,Neuquén,60
2017,3,Río Negro,48
2017,3,Salta,39
2017,3,San Juan,32
2017,3,San Luis,15
2017,3,Santa Cruz,33
2017,3,Santa Fe,60
2017,3,Santiago Del Estero,35
2017,3,Tierra Del Fuego,65
2017,3,Tucumán,39
2017,2,Buenos Aires,56
2017,2,Capital Federal,124
2017,2,Catamarca,25
2017,2,Chaco,29
2017,2,Chubut,35
2017,2,Córdoba,58
2017,2,Corrientes,31
2017,2,Entre Ríos,45
2017,2,Formosa,19
2017,2,Jujuy,22
2017,2,La Pampa,63
2017,2,La Rioja,16
2017,2,Mendoza,31
2017,2,Misiones,30
2017,2,Neuquén,61
2017,2,Río Negro,46
2017,2,Salta,32
2017,2,San Juan,26
2017,2,San Luis,9
2017,2,Santa Cruz,26
2017,2,Santa Fe,52
2017,2,Santiago Del Estero,14
2017,2,Tierra Del Fuego,68
2017,2,Tucumán,38
2017,1,Buenos Aires,58
2017,1,Capital Federal,108
2017,1,Catamarca,25
2017,1,Chaco,28
2017,1,Chubut,35
2017,1,Córdoba,57
2017,1,Corrientes,30
2017,1,Entre Ríos,44
2017,1,Formosa,19
2017,1,Jujuy,22
2017,1,La Pampa,62
2017,1,La Rioja,16
2017,1,Mendoza,31
2017,1,Misiones,29
2017,1,Neuquén,61
2017,1,Río Negro,46
2017,1,Salta,32
2017,1,San Juan,27
2017,1,San Luis,9
2017,1,Santa Cruz,26
2017,1,Santa Fe,51
2017,1,Santiago Del Estero,14
2017,1,Tierra Del Fuego,68
2017,1,Tucumán,37
2016,4,Buenos Aires,61
2016,4,Capital Federal,120
2016,4,Catamarca,26
2016,4,Chaco,28
2016,4,Chubut,36
2016,4,Córdoba,57
2016,4,Corrientes,30
2016,4,Entre Ríos,45
